property,address,price,duration,number of bedrooms
3 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","8,000,000", per annum,3
4 bedroom detached duplex for rent,"  Reverend Ogunbiyi Street, Ikeja GRA, Ikeja, Lagos","16,000,000", per annum,4
2 bedroom terraced duplex for rent,"  Ikota, Lekki, Lagos","3,500,000", per annum,2
3 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","8,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Ikate, Lekki, Lagos","4,500,000", per annum,2
2 bedroom flat / apartment for rent,"  Ajah, Lagos","2,500,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Tunji Bello Enclave, Lekki Scheme 2, Ajah, Lagos","2,000,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Osapa London Estate, Osapa, Lekki, Lagos","1,600,000", per annum,1
3 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","6,000,000", per annum,3
4 bedroom terraced duplex for rent,"  Alexander Road, Old Ikoyi, Ikoyi, Lagos","10,000,000", per annum,4
1 bedroom mini flat (room and parlour) for rent,"  Platinum Way Jakande 1st Gate Bustop, Jakande, Lekki, Lagos","2,500,000", per annum,1
4 bedroom semi-detached duplex for rent,"  Ikota, Lekki, Lagos","4,500,000", per annum,4
2 bedroom flat / apartment for rent,"  Orchid Road, Lekki, Lagos","3,000,000", per annum,2
3 bedroom flat / apartment for rent,"  Ginti Estate, Igbe Lara, Ikorodu, Lagos","550,000", per annum,3
3 bedroom flat / apartment for rent,"  Diamond Estate Command, Ipaja, Lagos","1,300,000", per annum,3
Self contain (single rooms) for rent,"  Off Gilbert Chikelu Crescent, Guzape District, Abuja","450,000", per annum,1
3 bedroom flat / apartment for rent,"  Asokoro District, Abuja","5,000,000", per annum,3
3 bedroom terraced duplex for rent,"  Meridian Estate By Awoyaya Bus Stop On Lekki Epe Expressway, Awoyaya, Ibeju Lekki, Lagos","2,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Orchid, Lekki, Lagos","2,700,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Miracle Avenue Estate, Sangotedo, Ajah, Lagos","700,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Orchid, Lekki, Lagos","1,500,000", per annum,1
4 bedroom semi-detached duplex for rent,"  Divine Homes, Thomas Estate, Ajah, Lagos","4,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Banana Island, Ikoyi, Lagos","20,000,000", per annum,3
3 bedroom semi-detached duplex for rent,"  Ologolo, Lekki, Lagos","5,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Salem Bustop, Ilasan, Lekki, Lagos","1,700,000", per annum,2
4 bedroom semi-detached duplex for rent,"  Aminu Kano, Wuse 2, Abuja","16,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Ikeja GRA, Ikeja, Lagos","7,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Ajao Estate, Oke Afa, Isolo, Lagos","2,500,000", per annum,3
Restaurant / bar for rent,"  Maitama District, Abuja","4,000,000",,Restaurant Space
1 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","800,000", per annum,1
Self contain (single rooms) for rent,"  Off Onitire Road, Itire-Ikate, Surulere, Lagos","450,000", per annum,1
2 bedroom flat / apartment for rent,"  Ologolo, Lekki, Lagos","3,000,000", per annum,2
3 bedroom flat / apartment for rent,"  Banana Island, Ikoyi, Lagos","23,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","7,000,000", per annum,3
1 bedroom mini flat (room and parlour) for rent,"  Off Onitire Road, Itire-Ikate, Surulere, Lagos","700,000", per annum,1
2 bedroom flat / apartment for rent,"  Salem Bustop Illasan Lekki Lagos State, Ikate Elegushi, Lekki, Lagos","2,000,000", per annum,2
2 bedroom terraced duplex for rent,"  Close To Renee Supermarket, Lekki Phase 1, Lekki, Lagos","3,500,000", per annum,2
2 bedroom flat / apartment for rent,"  Newton Estate, Ogombo, Ajah, Lagos","800,000", per annum,2
4 bedroom semi-detached duplex for rent,"  Banana Island, Ikoyi, Lagos","28,000,000", per annum,4
2 bedroom semi-detached bungalow for rent,"  Lugbe District, Abuja","1,800,000", per annum,2
3 bedroom flat / apartment for rent,"  Idado Estate, Lekki, Lagos","3,500,000", per annum,3
2 bedroom semi-detached bungalow for rent,"  Lugbe District, Abuja","2,000,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Igando Busstop, Igando Orudu, Ibeju Lekki, Lagos","300,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Chevron, Lekki, Lagos","280,000", per month,1
3 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","7,000,000", per annum,3
5 bedroom terraced duplex for rent,"  Osapa, Lekki, Lagos","5,000,000", per annum,5
4 bedroom terraced duplex for rent,"  Ikate, Lekki, Lagos","6,500,000", per annum,4
Office space for rent,"  Victoria Island (VI), Lagos","55,000", per square meter / per month,Office Space
1 bedroom mini flat (room and parlour) for rent,"  Itele Close To Ayobo Lagos, Ipaja, Lagos","250,000", per annum,1
5 bedroom terraced duplex for rent,"  Osborne Phase 2 Estate, Osborne, Ikoyi, Lagos","14,000,000", per annum,5
2 bedroom flat / apartment for rent,"  Evergreen Estate Aboru, Iyana Ipaja, Ipaja, Lagos","700,000", per annum,2
2 bedroom flat / apartment for rent,"  Ogombo, Ogombo, Ajah, Lagos","1,000,000", per annum,2
3 bedroom flat / apartment for rent,"  Ikate, Lekki, Lagos","3,800,000", per annum,3
3 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","8,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","8,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Itele Close To Ayobo Lagos, Ado-Odo/Ota, Ogun","200,000", per annum,2
3 bedroom house for rent,"  Life Camp, Abuja","3,500,000", per annum,3
2 bedroom flat / apartment for rent,"  Right, Lekki, Lagos","15,000,000", per annum,2
3 bedroom flat / apartment for rent,"  Victory Estate, Ogombo, Ajah, Lagos","1,400,000", per annum,3
2 bedroom house for rent,"  Lekki Phase 1, Lekki, Lagos","3,000,000", per annum,2
3 bedroom flat / apartment for rent,"  By American International School, Durumi, Abuja","3,000,000", per annum,3
1 bedroom flat / apartment for rent,"  Orchid Road, Lekki, Lagos","2,000,000", per annum,1
2 bedroom flat / apartment for rent,"  Victory Estate, Ogombo, Ajah, Lagos","1,100,000", per annum,2
1 bedroom house for rent,"  By Gilmore, Jahi, Abuja","1,300,000", per annum,1
Office space for rent,"  Sokode Crescent, Zone 5, Wuse, Abuja","10,000,000", per annum,Office Space
2 bedroom house for rent,"  High Castle Estate, Boys Town, Ipaja, Lagos","850,000", per annum,2
2 bedroom flat / apartment for rent,"  United Estate, Sangotedo, Ajah, Lagos","1,000,000", per annum,2
2 bedroom flat / apartment for rent,"  United Estate, Sangotedo, Ajah, Lagos","1,500,000", per annum,2
2 bedroom flat / apartment for rent,"  Therra Miracle Avenue Zone Aptech Therra Peace Estate, Sangotedo, Ajah, Lagos","2,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Goodnews Estate Therra Annex Sangotedo, Ajah, Lagos","1,200,000", per annum,2
Shop for rent,"  Admiralty Way, Lekki Phase 1, Lekki, Lagos","2,500,000", per annum,1
3 bedroom flat / apartment for rent,"  Banana Island, Ikoyi, Lagos","25,000,000", per annum,3
2 bedroom house for rent,"  Ologolo, Lekki, Lagos","3,500,000", per annum,2
2 bedroom flat / apartment for rent,"  By Goodnews Estate Therra Annex, Sangotedo, Ajah, Lagos","1,500,000", per annum,2
4 bedroom terraced duplex for rent,"  Banana Island, Ikoyi, Lagos","20,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Therra Miracle Zone Avenue Estate, Sangotedo, Ajah, Lagos","1,700,000", per annum,2
2 bedroom flat / apartment for rent,"  Old Ikoyi, Ikoyi, Lagos","7,500,000", per annum,2
4 bedroom flat / apartment for rent,"  Old Ikoyi, Ikoyi, Lagos","150,000", per annum,4
5 bedroom detached duplex for rent,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","15,000,000", per annum,5
3 bedroom flat / apartment for rent,"  Off Herbert Macaulay Way, Alagomeji, Yaba, Lagos","1,500,000", per annum,3
3 bedroom flat / apartment for rent,"  Alagomeji, Yaba, Lagos","4,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Ogudu, Lagos","1,500,000", per annum,2
2 bedroom flat / apartment for rent,"  Whitesand Beach Estate, Ologolo, Lekki, Lagos","3,200,000", per annum,2
2 bedroom flat / apartment for rent,"  Orchid, Lekki, Lagos","2,500,000", per annum,2
5 bedroom detached duplex for rent,"  Jahi, Abuja","8,000,000", per annum,5
Plaza / complex / mall for rent,"  Opebi Road/opebi Link Road, Opebi, Ikeja, Lagos","115,000", per square meter / per annum,Plaza/mall Space
2 bedroom flat / apartment for rent,"  Thera Peace Estate, Sangotedo, Ajah, Lagos","2,000,000", per annum,2
Commercial land for rent,"  Jakande, Lekki, Lagos","7,000,000", per annum,Commercial land/property
4 bedroom semi-detached duplex for rent,"  Buenevista Estate Orchid Road, Lekki, Lagos","3,200,000", per annum,4
5 bedroom detached duplex for rent,"  Ajah, Lagos","8,000,000", per annum,5
1 bedroom flat / apartment for rent,"  Off Kusenla Road, Ikate Elegushi, Lekki, Lagos","3,000,000", per annum,1
4 bedroom house for rent,"  Ocean Bay Orchid, Lekki, Lagos","5,500,000", per annum,4
Commercial property for rent,"  Ikeja GRA, Ikeja, Lagos","700,000", per annum,Commercial land/property
4 bedroom terraced duplex for rent,"  By Gilmore, Jahi, Abuja","6,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Lekki Phase 2, Lekki, Lagos","1,600,000", per annum,2
3 bedroom flat / apartment for rent,"  Lekki, Lagos","3,800,000", per annum,3
Shop for rent,"  Aminu Kano Crescent, Wuse 2, Abuja","4,000,000", per annum,1
2 bedroom flat / apartment for rent,"  By Old Federal Secretariat, Dynamic Church, Area 1, Garki, Abuja","1,300,000", per annum,2
Self contain (single rooms) for rent,"  By The Old Secretariat, Dunamis Church, Area 1, Garki, Abuja","700,000", per annum,1
2 bedroom flat / apartment for rent,"  Off Aminu Kano Crescent, Wuse 2, Abuja","3,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Lagoke Akintola Bourvard, Area 2, Garki, Abuja","3,000,000", per annum,2
4 bedroom terraced duplex for rent,"  Ikate, Lekki, Lagos","6,500,000", per annum,4
1 bedroom flat / apartment for rent,"  Ikate, Lekki, Lagos","5,200,000", per annum,1
4 bedroom detached duplex for rent,"  Dolphin Estate, Ikoyi, Lagos","15,000,000", per annum,4
Office space for rent,"  Lekki Phase 1, Lekki, Lagos","85,000", per square meter / per annum,Office Space
1 bedroom flat / apartment for rent,"  Ikate, Lekki, Lagos","5,200,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Chevron, Lekki, Lagos","280,000", per month,1
4 bedroom semi-detached duplex for rent,"  Victoria Island (VI), Lagos","7,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Platinum Way, Jakande, Ikate, Lekki, Lagos","3,500,000", per annum,2
2 bedroom flat / apartment for rent,"  Banana Island, Ikoyi, Lagos","10,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","5,500,000", per annum,2
2 bedroom terraced duplex for rent,"  Ikota, Lekki, Lagos","3,000,000", per annum,2
3 bedroom flat / apartment for rent,"  Ikate Elegushi, Lekki, Lagos","4,000,000", per annum,3
4 bedroom terraced duplex for rent,"  Parkview, Ikoyi, Lagos","15,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Marwa Bus Stop, Lekki Phase 1, Lekki, Lagos","6,700,000", per annum,3
2 bedroom flat / apartment for rent,"  Gbetu, Awoyaya, Ibeju Lekki, Lagos","1,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Ikate Elegushi, Lekki, Lagos","3,500,000", per annum,2
4 bedroom terraced duplex for rent,"  Jahi, Abuja","8,000,000", per annum,4
2 bedroom flat / apartment for rent,"  By Oyadiran Estate(free Dstv Installation, No Service Charge), Sabo, Yaba, Lagos","1,700,000",,2
3 bedroom flat / apartment for rent,"  Victory Park Estate, Jakande, Lekki, Lagos","300,000", per month,3
3 bedroom flat / apartment for rent,"  Off Legali Ayorinde, Victoria Island Extension, Victoria Island (VI), Lagos","8,000,000", per annum,3
1 bedroom mini flat (room and parlour) for rent,"  Nicon Town, Lekki, Lagos","2,200,000", per annum,1
2 bedroom flat / apartment for rent,"  Lekki Palm City Estate Addo/road, Ajah, Lagos","2,500,000", per annum,2
2 bedroom flat / apartment for rent,"  By Lagos Business School, Olokonla, Ajah, Lagos","1,500,000", per annum,2
3 bedroom flat / apartment for rent,"  Madam Nnwakwo Street University View Estate, Ajah, Lagos","2,000,000", per annum,3
4 bedroom semi-detached duplex for rent,"  Banana Island, Ikoyi, Lagos","15,000,000", per annum,4
3 bedroom semi-detached duplex for rent,"  Lekki Phase 1, Lekki, Lagos","10,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Off Sobo Arobiodu Street, Ikeja GRA, Ikeja, Lagos","8,500,000", per annum,3
3 bedroom flat / apartment for rent,"  Jahi, Abuja","6,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Alasia, Ajah, Lagos","2,500,000", per annum,2
2 bedroom flat / apartment for rent,"  34 West Street Estate Happy Land Estate, Ajah, Lagos","1,500,000", per annum,2
3 bedroom flat / apartment for rent,"  Victoria Island (VI), Lagos","35,000,000", per annum,3
1 bedroom mini flat (room and parlour) for rent,"  Estate At Ogidan Junction After Blenco Supermarket, Sangotedo, Ajah, Lagos","1,000,000", per annum,1
2 bedroom flat / apartment for rent,"  56 Golden Court Estate Close To Lbs, Ajah, Lagos","1,700,000", per annum,2
2 bedroom flat / apartment for rent,"  Thurja Ville Estate, Wuye, Abuja","3,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Skymall, Sangotedo, Ajah, Lagos","1,600,000", per annum,2
2 bedroom flat / apartment for rent,"  Estate After Road Safety Office, Olokonla, Ajah, Lagos","1,500,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  By Domino Pizza Road, Off Chief Kola Street, Ologolo, Lekki, Lagos","1,200,000", per annum,1
4 bedroom semi-detached duplex for rent,"  Orchid, Lekki, Lagos","4,500,000", per annum,4
Self contain (single rooms) for rent,"  Laspotech, Ikorodu, Lagos","300,000", per annum,1
3 bedroom flat / apartment for rent,"  Ikate, Lekki, Lagos","8,500,000", per annum,3
1 bedroom mini flat (room and parlour) for rent,"  Alagomeji, Yaba, Lagos","1,100,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Victoria Bay Orchid Road Opposite Eleganza Bus Stop, Lekki, Lagos","2,500,000", per annum,1
4 bedroom semi-detached duplex for rent,"  Lekki Scheme, Ajah, Lagos","3,500,000", per annum,4
3 bedroom flat / apartment for rent,"  Ikoyi, Lagos","12,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Estate After Road Safety, Olokonla, Ajah, Lagos","1,750,000", per annum,2
4 bedroom terraced duplex for rent,"  Ikoyi, Lagos","17,000,000", per annum,4
5 bedroom detached duplex for rent,"  Diplomatic Zone, Katampe Extension, Katampe, Abuja","10,500,000", per annum,5
Office space for rent,"  Sokode Crescent, Zone 5, Wuse, Abuja","10,000,000", per annum,Office Space
4 bedroom terraced duplex for rent,"  Life Camp, Abuja","4,500,000", per annum,4
4 bedroom terraced duplex for rent,"  Orchid Road By Second Tollgate, Lekki Phase 2, Lekki, Lagos","3,800,000", per annum,4
2 bedroom flat / apartment for rent,"  Sangotedo, Ajah, Lagos","800,000", per annum,2
4 bedroom terraced duplex for rent,"  Banana Island, Ikoyi, Lagos","25,000,000", per annum,4
4 bedroom house for rent,"  Ever Green Estate, Durumi, Abuja","4,300,000", per annum,4
Self contain (single rooms) for rent,"  Thomas Estate, Ajah, Lagos","450,000", per annum,1
3 bedroom terraced duplex for rent,"  Orchid Hotel Road, Lekki Phase 2, Lekki, Lagos","3,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Close To Coza Church, Guzape District, Abuja","5,000,000", per annum,3
1 bedroom mini flat (room and parlour) for rent,"  K1 Supermarket Road, Ogombo, Ajah, Lagos","600,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Chevron Alternative Route Estate Chevron, Lekki, Lagos","1,000,000", per annum,1
2 bedroom terraced duplex for rent,"  Ikate, Lekki, Lagos","4,500,000", per annum,2
4 bedroom semi-detached duplex for rent,"  Victory Park Estate, Osapa, Lekki, Lagos","7,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Ogba, Ikeja, Lagos","2,000,000", per annum,2
3 bedroom flat / apartment for rent,"  35 William Onoh Chevy View Estate, Lekki, Lagos","3,000,000", per annum,3
4 bedroom flat / apartment for rent,"  Parkview, Ikoyi, Lagos","15,000,000", per annum,4
4 bedroom house for rent,"  By Navy Quarters, Kado, Abuja","5,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Kaura, Abuja","2,500,000", per annum,3
3 bedroom terraced duplex for rent,"  Meridian Luxury Park Estate, Awoyaya, Ibeju Lekki, Lagos","1,500,000", per annum,3
2 bedroom flat / apartment for rent,"  Tarred Road News Engineering, Dawaki, Gwarinpa, Abuja","1,800,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  69 Road, Gwarinpa, Abuja","800,000", per annum,1
Plaza / complex / mall for rent,"  Lekki/epe Express, Lekki Phase 1, Lekki, Lagos","8,000", per square meter / per month,Plaza/mall Space
4 bedroom house for rent,"  Gilmore, Jahi, Abuja","7,000,000", per annum,4
1 bedroom mini flat (room and parlour) for rent,"  Zone D, Apo Resettlement, Apo, Abuja","1,200,000", per annum,1
2 bedroom flat / apartment for rent,"  By Domino Pizza Road, 13 Units Of Brand New Apartments, Ologolo, Lekki, Lagos","3,000,000", per annum,2
2 bedroom flat / apartment for rent,"  By Fashoro Through Mabo, Surulere, Lagos","1,800,000", per annum,2
1 bedroom flat / apartment for rent,"  Southpointe Estate, Orchid Road, Lekki Phase 1, Lekki, Lagos","1,300,000", per annum,1
1 bedroom flat / apartment for rent,"  Southpointe Estate, Orchid Road, Lekki Phase 1, Lekki, Lagos","1,800,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Victoria Bay 1 Orchid Road Opposite Eleganza, Lekki, Lagos","2,350,000", per annum,1
4 bedroom terraced duplex for rent,"  Jahi, Abuja","6,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Kaura, Abuja","2,500,000", per annum,3
3 bedroom flat / apartment for rent,"  Galadimawa, Abuja","3,500,000", per annum,3
1 bedroom mini flat (room and parlour) for rent,"  Lekki Phase 1, Lekki, Lagos","3,000,000", per annum,1
2 bedroom terraced duplex for rent,"  Ikota, Lekki, Lagos","3,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Sky Mall, Sangotedo, Ajah, Lagos","1,600,000", per annum,2
1 bedroom flat / apartment for rent,"  Southern View Estate, Lekki, Lagos","700,000", per annum,1
2 bedroom flat / apartment for rent,"  Ajao Estate, Isolo, Lagos","1,000,000", per annum,2
Self contain (single rooms) for rent,"  Alpha Beach / New Road, By Chevron, Lekki, Lagos","1,000,000", per annum,1
4 bedroom semi-detached duplex for rent,"  Oral Estate, 2nd Toll Gate, Ikota, Lekki, Lagos","4,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Behind Mega Chicken, Ikota, Lekki, Lagos","2,300,000", per annum,3
2 bedroom flat / apartment for rent,"  Budo Peninsula Estate By Abraham Adesanya, Ajiwe, Ajah, Lagos","2,500,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Estate Beside Dominos, Agungi, Lekki, Lagos","1,500,000", per annum,1
3 bedroom terraced duplex for rent,"  House 1d, Road 7, Ikota Villa Estate, Ikota, Lekki, Lagos","3,500,000", per annum,3
1 bedroom mini flat (room and parlour) for rent,"  Itele Close To Ayobo, Ipaja, Lagos","250,000", per annum,1
5 bedroom detached duplex for rent,"  Admiralty Navy Estate, Asokoro District, Abuja","15,000,000", per annum,5
4 bedroom house for rent,"  Naf Valley Estate, Asokoro District, Abuja","8,000,000", per annum,4
4 bedroom terraced duplex for rent,"  Ajah, Lagos","3,500,000", per annum,4
1 bedroom house for rent,"  Diplomatic Zone, Asokoro District, Abuja","1,800,000", per annum,1
2 bedroom flat / apartment for rent,"  Oakland By Peninsula Estate Behind Blenco By Skymall, Sangotedo, Ajah, Lagos","2,000,000", per annum,2
3 bedroom semi-detached duplex for rent,"  VGC, Lekki, Lagos","3,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Itele Close To Ayobo, Ipaja, Lagos","250,000", per annum,2
2 bedroom flat / apartment for rent,"  In An Estate After Blenco Sangotedo Ajah, Sangotedo, Ajah, Lagos","1,600,000", per annum,2
2 bedroom flat / apartment for rent,"  Victoria Island (VI), Lagos","8,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Silver Gate Estate, Sangotedo, Ajah, Lagos","1,500,000", per annum,2
Warehouse for rent,"  Chisco, Ikate Elegushi, Lekki, Lagos","25,000,000", per annum,Warehouse Space
2 bedroom flat / apartment for rent,"  Igbooluwo Estate, Jumofak, Ikorodu, Lagos","750,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Behind Enyo Fuel Station, Ikate, Lekki, Lagos","3,000,000", per annum,1
3 bedroom flat / apartment for rent,"  New Era Estate Jendol Supermarket Road, Ikorodu, Lagos","650,000", per annum,3
4 bedroom terraced duplex for rent,"  Lekki Phase 1, Lekki, Lagos","8,500,000", per annum,4
2 bedroom house for rent,"  Thomas Estate, Ajah, Lagos","2,200,000", per annum,2
2 bedroom flat / apartment for rent,"  Goodnews Estate, Sangotedo, Ajah, Lagos","850,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Godwin Estate,, Onosa, Ibeju Lekki, Lagos","400,000", per annum,1
3 bedroom flat / apartment for rent,"  Banana Island, Ikoyi, Lagos","15,000,000", per annum,3
4 bedroom semi-detached duplex for rent,"  Channels Tv Avenue Tophill Enclave Estate, Isheri North, Lagos","4,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Bailey Str. Off Oguntolu Str, Onipanu, Shomolu, Lagos","1,500,000", per annum,2
2 bedroom semi-detached bungalow for rent,"  Abraham Adesanya Estate, Ajah, Lagos","1,350,000", per annum,2
4 bedroom flat / apartment for rent,"  Old Ikoyi, Ikoyi, Lagos","16,000,000", per annum,4
4 bedroom terraced duplex for rent,"  Banana Island, Ikoyi, Lagos","14,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Lake View Estate Blenco Sangotedo Ajah, Ajah, Lagos","2,300,000", per annum,3
3 bedroom flat / apartment for rent,"  Banana Island, Ikoyi, Lagos","15,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Victoria Island (VI), Lagos","14,000,000", per annum,3
5 bedroom semi-detached duplex for rent,"  Banana Island, Ikoyi, Lagos","35,000,000", per annum,5
3 bedroom house for rent,"  Jabi, Abuja","4,000,000", per annum,3
Warehouse for rent,"  Iju, Ikeja, Lagos","17,000,000", per annum,Warehouse Space
1 bedroom mini flat (room and parlour) for rent,"  Aiyetoro Close To Ayobo, Ayobo, Lagos","180,000", per annum,1
4 bedroom semi-detached duplex for rent,"  Ajah, Lagos","58,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Aiyetoro Close To Ayobo, Ayobo, Lagos","300,000", per annum,2
3 bedroom flat / apartment for rent,"  Thomas Estate, Ajah, Lagos","2,200,000", per annum,3
1 bedroom mini flat (room and parlour) for rent,"  Yaba, Lagos","6,500,000", per annum,1
2 bedroom flat / apartment for rent,"  Conservation, Lekki, Lagos","500,000", per month,2
2 bedroom flat / apartment for rent,"  Josemaria Escriva, By Waka-now, Lekki Phase 1, Lekki, Lagos","3,200,000", per annum,2
3 bedroom flat / apartment for rent,"  Itele Close To Ayobo, Ipaja, Lagos","500,000", per annum,3
5 bedroom detached duplex for rent,"  Jahi, Abuja","7,000,000", per annum,5
4 bedroom detached duplex for rent,"  GRA Phase 2, Magodo, Lagos","8,000,000", per annum,4
3 bedroom terraced duplex for rent,"  House 1d, Road 7, Ikota Villa Estate, Ikota, Lekki, Lagos","3,500,000", per annum,3
3 bedroom block of flats for rent,"  Jahi, Abuja","5,500,000", per annum,3
3 bedroom flat / apartment for rent,"  Jahi, Abuja","3,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Wuye, Abuja","4,500,000", per annum,3
5 bedroom detached duplex for rent,"  Life Camp, Abuja","6,000,000", per annum,5
4 bedroom detached duplex for rent,"  Lekki Palm City, Ajah, Lagos","4,200,000", per annum,4
3 bedroom flat / apartment for rent,"  Omole Phase 1, Ikeja, Lagos","3,500,000", per annum,3
2 bedroom flat / apartment for rent,"  22 Adams Manuel, Off Oyadiran Estate, Sabo, Yaba, Lagos","1,700,000", per annum,2
3 bedroom flat / apartment for rent,"  Marwa, Lekki Phase 1, Lekki, Lagos","6,500,000", per annum,3
2 bedroom terraced duplex for rent,"  Ikate, Lekki, Lagos","4,500,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Katampe Extension, Katampe, Abuja","5,500,000", per annum,1
2 bedroom terraced duplex for rent,"  Ikota, Ikota, Lekki, Lagos","3,500,000", per annum,2
4 bedroom terraced duplex for rent,"  Maitama District, Abuja","35,000,000", per annum,4
Self contain (single rooms) for rent,"  Lekki County, Ikota, Lekki, Lagos","900,000", per annum,1
Self contain (single rooms) for rent,"  Lekki Phase 1, Lekki, Lagos","1,200,000", per annum,1
4 bedroom semi-detached duplex for rent,"  Maitama District, Abuja","25,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Igbo Efon, Lekki, Lagos","1,500,000", per annum,2
2 bedroom flat / apartment for rent,"  Old Ikoyi, Ikoyi, Lagos","6,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Off Spa Road, Nicon Town, Lekki, Lagos","4,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Oluosifeso, Onike, Yaba, Lagos","2,500,000", per annum,2
Self contain (single rooms) for rent,"  Right, Lekki, Lagos","3,300,000", per annum,1
2 bedroom flat / apartment for rent,"  Ikate Elegushi, Lekki, Lagos","2,600,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Osapa, Lekki, Lagos","2,000,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Western Garden Estate, Close To Lbs, Ajah, Lagos","1,100,000", per annum,1
2 bedroom terraced duplex for rent,"  No 15 Choice Garden Estate Close Lbs, Ajah, Lagos","2,200,000", per annum,2
3 bedroom terraced duplex for rent,"  23 Divine Garden Estate, Close To Abraham Adesanya, Ajah, Lagos","2,900,000", per annum,3
2 bedroom flat / apartment for rent,"  No 23 Choice Garden Estate Close To Abraham Adesanya Ajah Lekki Lagos, Ajah, Lagos","2,300,000", per annum,2
3 bedroom flat / apartment for rent,"  Jabi, Abuja","3,500,000", per annum,3
3 bedroom flat / apartment for rent,"  Ikate, Lekki, Lagos","4,000,000", per annum,3
4 bedroom terraced duplex for rent,"  Osapa London, Osapa, Lekki, Lagos","7,000,000", per annum,4
4 bedroom semi-detached duplex for rent,"  Conservation Road Before Chevron Toll Gate, Lekki, Lagos","4,500,000", per annum,4
4 bedroom flat / apartment for rent,"  Parkview, Ikoyi, Lagos","15,000,000", per annum,4
1 bedroom mini flat (room and parlour) for rent,"  Lekki Palm City Estate, Ajah, Lagos","1,200,000", per annum,1
Office space for rent,"  Off Ijesha Express, Ijesha, Lagos","1,400,000", per annum,Office Space
4 bedroom terraced duplex for rent,"  Lekki Palm City Estate, Ajah, Lagos","3,500,000", per annum,4
