property,address,price,duration,number of bedrooms
3 bedroom flat / apartment for rent,"  Akinwunmi Street,, Abule Egba, Agege, Lagos","1,300,000", per annum,3
Self contain (single rooms) for rent,"  Off Freedom Way, Lekki Phase 1, Lekki, Lagos","420,000", per month,1
4 bedroom semi-detached duplex for rent,"  Old Ikoyi, Ikoyi, Lagos","20,000,000", per annum,4
4 bedroom terraced duplex for rent,"  Lekki By New Road, Lekki, Lagos, Lekki, Lagos","2,500,000", per annum,4
Self contain (single rooms) for rent,"  Orchid Road Off Chevron Toll Gate, Lekki, Lagos","1,500,000", per annum,1
3 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki Phase 1, Lekki, Lagos","6,000,000", per annum,3
Self contain (single rooms) for rent,"  Orchid Road Off Chevron Toll Gate, Lekki, Lagos","750,000", per annum,1
Self contain (single rooms) for rent,"  Off Chevron Toll Gate, Orchid Road, Lekki, Lagos","800,000", per annum,1
2 bedroom flat / apartment for rent,"  Salem Ilasan Lekki Lagos Nigeria, Lekki, Lagos","4,000,000", per annum,2
4 bedroom terraced duplex for rent,"  Lekki By New Road, Lekki, Lagos, Lekki, Lagos","2,500,000", per annum,4
2 bedroom flat / apartment for rent,"  Arepo, Berger, Arepo, Ogun","600,000", per annum,2
3 bedroom flat / apartment for rent,"  Ogudu Orioke, Ogudu, Lagos","3,500,000", per annum,3
1 bedroom flat / apartment for rent,"  Via Alapere Round About, Alapere, Ketu, Lagos","1,100,000", per annum,1
2 bedroom flat / apartment for rent,"  Guzape District, Abuja","5,500,000", per annum,2
3 bedroom detached duplex for rent,"  Wuse2, Wuse 2, Abuja","15,000,000", per annum,3
Self contain (single rooms) for rent,"  Nike Art Gallery, Lekki, Lagos","2,500,000", per annum,1
3 bedroom terraced duplex for rent,"  By Abraham Adrsanya Junction, Lekki Phase 2, Lekki, Lagos","3,000,000", per annum,3
1 bedroom mini flat (room and parlour) for rent,"  Budo Estate, Ajah, Lagos","1,500,000", per annum,1
4 bedroom terraced duplex for rent,"  Close To Wheat Baker, Old Ikoyi, Ikoyi, Lagos","25,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Graceland Estate, Ajah, Lagos","2,000,000", per annum,2
4 bedroom house for rent,"  Lekki Palm City, Ado, Ajah, Lagos","3,500,000", per annum,4
3 bedroom terraced duplex for rent,"  Lekki Garden Estate Phase ,, Ajah, Lagos","2,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Grace Land Estate, Ajah, Lagos","2,200,000", per annum,3
2 bedroom flat / apartment for rent,"  Farmville Estate, Sangotedo, Ajah, Lagos","1,200,000", per annum,2
3 bedroom terraced duplex for rent,"  Ologolo, Lekki, Lagos","4,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Off Agbe Road, Abule Egba, Agege, Lagos","600,000", per annum,3
1 bedroom flat / apartment for rent,"  Ochid Road, Lekki Lagos Nigeria, Lekki, Lagos","4,500,000", per annum,1
3 bedroom flat / apartment for rent,"  Off Olaniyi Street, New Oko-Oba, Agege, Lagos","1,000,000", per annum,3
5 bedroom semi-detached duplex for rent,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","13,000,000", per annum,5
2 bedroom flat / apartment for rent,"  Nike Art Gallery Road, New Horizon 1 Estate, Ikate, Lekki, Lagos","4,000,000", per annum,2
Self contain (single rooms) for rent,"  Off George Enemoh Street, Lekki Phase 1, Lekki, Lagos","800,000", per annum,1
2 bedroom flat / apartment for rent,"  Ajah, Lagos","2,000,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Lekki Phase 1, Lekki, Lagos","2,500,000", per annum,1
4 bedroom terraced duplex for rent,"  Bourdillon Road, Ikoyi, Lagos","35,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Right Hand, Lekki, Lagos","5,100,000", per annum,2
3 bedroom flat / apartment for rent,"  Idado, Lekki, Lagos","3,500,000", per annum,3
2 bedroom flat / apartment for rent,"  Ado Road, Ajah, Lagos","1,100,000", per annum,2
3 bedroom terraced duplex for rent,"  Shoprite, Osapa, Lekki, Lagos","4,500,000", per annum,3
3 bedroom detached bungalow for rent,"  Sungold, Galadimawa, Abuja","4,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Agungi, By Bakare Estate, Lekki, Lagos, Lekki, Lagos","2,500,000", per annum,3
Self contain (single rooms) for rent,"  University Of Ibadan, Ajibode, Ibadan, Oyo","250,000", per annum,1
3 bedroom flat / apartment for rent,"  Megamound Estate, Ikota, Ikota, Lekki, Lagos","3,500,000", per annum,3
4 bedroom terraced duplex for rent,"  Abiola Court, Lekki, Lagos","4,500,000", per annum,4
3 bedroom flat / apartment for rent,"  Agungi, Bakare Estate, Agungi, Lagos, Lekki, Lagos","2,500,000", per annum,3
3 bedroom flat / apartment for rent,"  Close To Paradise Estate 1, Life Camp, Abuja","3,500,000", per annum,3
2 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","8,000,000", per annum,2
Self contain (single rooms) for rent,"  Badore Road, Badore, Ajah, Lagos","500,000", per annum,1
2 bedroom terraced duplex for rent,"  Citadel View Estate Behind Blenco Supermarket Ogidan, Olokonla, Ajah, Lagos","3,500,000", per annum,2
2 bedroom flat / apartment for rent,"  By Shop Rite Super Market, Jabi, Abuja","33,000", per annum,2
1 bedroom detached bungalow for rent,"  Naf Valley Estate Asokoro Abuja Diplomatic Zone, Asokoro District, Abuja","2,000,000", per annum,1
4 bedroom detached bungalow for rent,"  Banana Island, Ikoyi, Lagos","30,000,000", per annum,4
Self contain (single rooms) for rent,"  De Kins Court Estate Orchid, Lekki, Lagos","1,400,000", per annum,1
Self contain (single rooms) for rent,"  Federal Housing Lugbe, Abuja, Lugbe District, Abuja","300,000", per annum,1
2 bedroom terraced duplex for rent,"  Ikate Chisco, Lekki Phase 1, Lekki, Lagos","4,000,000", per annum,2
Self contain (single rooms) for rent,"  Greenville, Badore, Ajah, Lagos","600,000", per annum,1
Self contain (single rooms) for rent,"  Greenville, Badore, Ajah, Lagos","400,000", per annum,1
2 bedroom flat / apartment for rent,"  Seaside Estate Badore Addo Ajah Lagos, Badore, Ajah, Lagos","1,300,000", per annum,2
3 bedroom flat / apartment for rent,"  Seaside Estate, Badore, Ajah, Lagos","1,300,000", per annum,3
